LINHA_EXCEL;CENTRO;SKU;DESCRIÇÃO;DEPÓSITO;QTD_REGISTRO;VALOR_REGISTRO
2;C903;0005-0018-0;CANALETA C/ DIVISÓRIA 20X10X2,10;LVUT;25,0;118,87
3;C908;0005-0018-0;CANALETA C/ DIVISÓRIA 20X10X2,10;EXEC;100,0;454,04
4;C911;0005-0018-0;CANALETA C/ DIVISÓRIA 20X10X2,10;LVUT;25,0;118,87
5;C912;0005-0018-0;CANALETA C/ DIVISÓRIA 20X10X2,10;LVUT;25,0;118,87
6;C110;0005-0031-4;FITA AUTO-FUSÃO;LVUT;267,0;2511,94
7;C440;0005-0031-4;FITA AUTO-FUSÃO;LVUT;10,0;91,78
8;C903;0005-0031-4;FITA AUTO-FUSÃO;LVUT;159,0;3200,65
9;C904;0005-0031-4;FITA AUTO-FUSÃO;EXEC;3,0;55,77
10;C904;0005-0031-4;FITA AUTO-FUSÃO;LVUT;141,0;2620,98
11;C905;0005-0031-4;FITA AUTO-FUSÃO;LVUT;43,0;881,33
12;C906;0005-0031-4;FITA AUTO-FUSÃO;LVUT;40,0;819,58
13;C907;0005-0031-4;FITA AUTO-FUSÃO;EXEC;1,0;14,51
14;C907;0005-0031-4;FITA AUTO-FUSÃO;LVUT;196,0;2843,87
15;C908;0005-0031-4;FITA AUTO-FUSÃO;EXEC;4,0;63,3
16;C908;0005-0031-4;FITA AUTO-FUSÃO;LVUT;6,0;94,95
17;C909;0005-0031-4;FITA AUTO-FUSÃO;LVUT;69,0;1297,05
18;C910;0005-0031-4;FITA AUTO-FUSÃO;LVUT;29,0;597,04
19;C912;0005-0031-4;FITA AUTO-FUSÃO;LVUT;2,0;41,18
20;C913;0005-0031-4;FITA AUTO-FUSÃO;LVUT;58,0;1122,9
21;C915;0005-0031-4;FITA AUTO-FUSÃO;LVUT;85,0;1738,31
22;C924;0005-0031-4;FITA AUTO-FUSÃO;LVUT;27,0;555,86
23;C925;0005-0031-4;FITA AUTO-FUSÃO;LVUT;18,0;306,44
24;F903;0005-0031-4;FITA AUTO-FUSÃO;LVUT;5,0;0,05
25;F904;0005-0031-4;FITA AUTO-FUSÃO;LVUT;98,0;0,98
26;F905;0005-0031-4;FITA AUTO-FUSÃO;LVUT;10,0;0,1
27;F906;0005-0031-4;FITA AUTO-FUSÃO;EXEC;16,0;0,16
28;F906;0005-0031-4;FITA AUTO-FUSÃO;LVUT;78,0;0,78
29;F913;0005-0031-4;FITA AUTO-FUSÃO;EXEC;6,0;0,06
